response_id,q1,q2,q3,q4,q5,q6,note
1,3,3,3,2,3,3,教材用シミュレーション
2,3,3,3,3,3,3,教材用シミュレーション
3,3,3,4,3,4,4,教材用シミュレーション
4,4,4,4,2,3,2,教材用シミュレーション
5,1,1,1,2,3,2,教材用シミュレーション
6,3,3,3,3,3,3,教材用シミュレーション
7,2,3,2,3,2,2,教材用シミュレーション
8,4,4,4,4,3,4,教材用シミュレーション
9,4,4,3,2,2,3,教材用シミュレーション
10,3,3,4,2,3,3,教材用シミュレーション
11,2,2,2,3,3,3,教材用シミュレーション
12,4,4,3,3,4,3,教材用シミュレーション
13,5,4,5,3,3,3,教材用シミュレーション
14,3,3,2,4,4,4,教材用シミュレーション
15,3,2,2,4,3,3,教材用シミュレーション
16,3,2,3,2,3,2,教材用シミュレーション
17,4,4,5,1,3,3,教材用シミュレーション
18,4,4,4,4,4,5,教材用シミュレーション
19,2,2,3,4,4,3,教材用シミュレーション
20,2,2,2,4,3,3,教材用シミュレーション
21,4,5,4,3,4,4,教材用シミュレーション
22,4,3,2,4,3,3,教材用シミュレーション
23,3,4,4,3,4,4,教材用シミュレーション
24,3,2,3,4,3,3,教材用シミュレーション
25,2,3,3,5,5,5,教材用シミュレーション
26,5,4,4,3,3,3,教材用シミュレーション
27,1,2,1,5,5,4,教材用シミュレーション
28,2,2,2,2,2,2,教材用シミュレーション
29,3,4,5,4,4,4,教材用シミュレーション
30,2,2,2,2,2,2,教材用シミュレーション
31,1,2,2,4,3,4,教材用シミュレーション
32,2,3,3,3,4,2,教材用シミュレーション
33,3,5,4,3,3,4,教材用シミュレーション
34,2,3,3,2,2,2,教材用シミュレーション
35,2,2,2,2,1,2,教材用シミュレーション
36,3,3,2,3,3,2,教材用シミュレーション
37,3,3,2,3,3,3,教材用シミュレーション
38,4,3,3,3,3,3,教材用シミュレーション
39,3,4,4,3,4,3,教材用シミュレーション
40,3,2,3,4,4,4,教材用シミュレーション
41,5,3,5,2,1,3,教材用シミュレーション
42,3,3,3,1,2,1,教材用シミュレーション
43,3,3,4,4,5,4,教材用シミュレーション
44,3,2,2,4,5,4,教材用シミュレーション
45,4,3,4,3,3,3,教材用シミュレーション
46,2,3,2,3,2,3,教材用シミュレーション
47,4,5,5,3,3,3,教材用シミュレーション
48,2,3,2,2,2,3,教材用シミュレーション
49,3,3,3,3,4,3,教材用シミュレーション
50,3,3,2,4,4,3,教材用シミュレーション
51,2,3,3,3,4,3,教材用シミュレーション
52,3,2,2,2,2,3,教材用シミュレーション
53,3,3,3,4,4,4,教材用シミュレーション
54,2,2,2,2,3,3,教材用シミュレーション
55,4,4,4,5,4,5,教材用シミュレーション
56,1,1,2,1,1,1,教材用シミュレーション
57,4,3,3,2,2,3,教材用シミュレーション
58,3,3,3,2,2,3,教材用シミュレーション
59,3,3,3,3,2,3,教材用シミュレーション
60,2,3,2,3,4,3,教材用シミュレーション
61,2,4,4,2,2,3,教材用シミュレーション
62,2,2,2,3,2,3,教材用シミュレーション
63,2,3,3,3,3,4,教材用シミュレーション
64,4,4,4,3,3,4,教材用シミュレーション
65,3,2,3,2,3,2,教材用シミュレーション
66,3,3,3,2,3,3,教材用シミュレーション
67,4,4,3,3,3,2,教材用シミュレーション
68,4,3,4,3,4,4,教材用シミュレーション
69,3,3,3,4,4,3,教材用シミュレーション
70,5,4,5,5,4,4,教材用シミュレーション
71,2,2,3,3,4,4,教材用シミュレーション
72,2,2,2,1,2,3,教材用シミュレーション
73,1,2,2,4,3,2,教材用シミュレーション
74,3,4,3,3,3,2,教材用シミュレーション
75,3,4,3,4,5,4,教材用シミュレーション
76,3,4,4,3,3,4,教材用シミュレーション
77,3,3,3,3,3,3,教材用シミュレーション
78,3,3,3,3,2,3,教材用シミュレーション
79,2,2,1,3,3,2,教材用シミュレーション
80,3,3,3,3,3,3,教材用シミュレーション
81,4,4,4,3,3,3,教材用シミュレーション
82,2,2,3,3,3,3,教材用シミュレーション
83,4,4,4,3,4,4,教材用シミュレーション
84,3,3,2,2,1,2,教材用シミュレーション
85,3,3,4,2,3,3,教材用シミュレーション
86,3,3,3,3,2,2,教材用シミュレーション
87,3,3,3,3,4,4,教材用シミュレーション
88,1,2,1,1,2,1,教材用シミュレーション
89,3,3,3,4,3,3,教材用シミュレーション
90,4,4,4,3,3,3,教材用シミュレーション
91,5,4,5,4,4,4,教材用シミュレーション
92,4,4,4,3,3,3,教材用シミュレーション
93,2,3,2,2,3,4,教材用シミュレーション
94,3,2,3,5,4,5,教材用シミュレーション
95,3,2,2,3,4,4,教材用シミュレーション
96,3,3,2,2,1,2,教材用シミュレーション
97,4,4,5,5,4,5,教材用シミュレーション
98,5,5,5,3,3,3,教材用シミュレーション
99,3,3,3,4,5,4,教材用シミュレーション
100,4,5,3,3,1,2,教材用シミュレーション
101,2,2,3,4,3,3,教材用シミュレーション
102,2,2,2,3,2,2,教材用シミュレーション
103,3,2,3,2,2,2,教材用シミュレーション
104,4,4,3,3,3,3,教材用シミュレーション
105,2,2,2,3,2,3,教材用シミュレーション
106,2,2,3,3,4,4,教材用シミュレーション
107,3,3,3,2,3,1,教材用シミュレーション
108,3,3,3,2,2,1,教材用シミュレーション
109,4,5,5,4,3,3,教材用シミュレーション
110,4,3,3,4,4,4,教材用シミュレーション
111,4,3,4,3,4,4,教材用シミュレーション
112,2,2,3,5,4,4,教材用シミュレーション
113,2,2,3,3,4,3,教材用シミュレーション
114,3,2,4,4,3,4,教材用シミュレーション
115,3,3,3,4,4,4,教材用シミュレーション
116,1,1,2,1,1,2,教材用シミュレーション
117,3,4,3,3,2,2,教材用シミュレーション
118,1,1,2,2,3,2,教材用シミュレーション
119,3,3,4,3,3,2,教材用シミュレーション
120,4,5,5,3,2,3,教材用シミュレーション
